"","Genetic_distance","density"
"1",0,0.155555555555555
"2",0.1,0.00202020202020202
"3",0.2,0.0121212121212121
"4",0.3,0.0101010101010101
"5",0.4,0.0121212121212121
"6",0.5,0.0202020202020202
"7",0.6,0.0262626262626263
"8",0.7,0.0181818181818182
"9",0.8,0.0242424242424242
"10",0.9,0.0363636363636364
"11",1,0.0242424242424242
"12",1.1,0.0505050505050505
"13",1.2,0.0808080808080808
"14",1.3,0.0969696969696968
"15",1.4,0.131313131313131
"16",1.5,0.159595959595959
"17",1.6,0.216161616161616
"18",1.7,0.250505050505051
"19",1.8,0.408080808080808
"20",1.9,0.444444444444445
"21",2,0.622222222222221
"22",2.1,0.848484848484848
"23",2.2,0.876767676767675
"24",2.3,1.13535353535353
"25",2.4,1.34343434343435
"26",2.5,1.51111111111111
"27",2.6,1.74141414141414
"28",2.7,1.82626262626262
"29",2.8,2.14545454545454
"30",2.9,2.57979797979799
"31",3,2.69090909090909
"32",3.1,2.87676767676767
"33",3.2,3.07070707070707
"34",3.3,3.17575757575757
"35",3.4,3.22828282828284
"36",3.5,3.32525252525252
"37",3.6,3.56969696969697
"38",3.7,3.76767676767676
"39",3.8,3.64848484848484
"40",3.9,3.77373737373739
"41",4,3.90101010101008
"42",4.1,3.81616161616163
"43",4.2,3.75151515151517
"44",4.3,3.43434343434342
"45",4.4,3.42222222222223
"46",4.5,3.46060606060604
"47",4.6,3.20606060606062
"48",4.7,3.0141414141414
"49",4.8,2.789898989899
"50",4.9,2.60202020202021
"51",5,2.6181818181818
"52",5.1,2.20606060606061
"53",5.2,2.23232323232322
"54",5.3,1.97575757575758
"55",5.4,1.77575757575758
"56",5.5,1.610101010101
"57",5.6,1.43838383838384
"58",5.7,1.33333333333333
"59",5.8,1.35757575757576
"60",5.9,1.11515151515152
"61",6,1.02424242424242
"62",6.1,0.959595959595964
"63",6.2,0.773737373737369
"64",6.3,0.769696969696973
"65",6.4,0.600000000000003
"66",6.5,0.547474747474745
"67",6.6,0.523232323232326
"68",6.7,0.486868686868685
"69",6.8,0.345454545454547
"70",6.9,0.351515151515153
"71",7,0.321212121212119
"72",7.1,0.286868686868688
"73",7.2,0.240404040404039
"74",7.3,0.189898989898991
"75",7.4,0.189898989898991
"76",7.5,0.167676767676767
"77",7.6,0.195959595959597
"78",7.7,0.135353535353535
"79",7.8,0.107070707070707
"80",7.9,0.107070707070707
"81",8,0.115151515151516
"82",8.1,0.0949494949494936
"83",8.2,0.0646464646464649
"84",8.3,0.070707070707071
"85",8.4,0.0545454545454547
"86",8.5,0.0404040404040406
"87",8.6,0.0424242424242419
"88",8.7,0.0242424242424244
"89",8.8,0.0222222222222223
"90",8.9,0.0202020202020203
"91",9,0.0343434343434344
"92",9.1,0.016161616161616
"93",9.2,0.0222222222222223
"94",9.3,0.00606060606060609
"95",9.4,0.0121212121212122
"96",9.5,0.01010101010101
"97",9.6,0.00404040404040406
"98",9.7,0
"99",9.8,0.00606060606060609
"100",9.9,0.00202020202020203
"101",10,0.00606060606060597
"102",10.1,0.00404040404040406
"103",10.2,0.00202020202020203
"104",10.3,0.00202020202020203
"105",10.4,0.00202020202020203
"106",10.5,0
"107",10.6,0
"108",10.7,0
"109",10.8,0
"110",10.9,0
"111",11,0
"112",11.1,0
"113",11.2,0
"114",11.3,0
"115",11.4,0
"116",11.5,0
"117",11.6,0
"118",11.7,0
"119",11.8,0
"120",11.9,0
