"","Genetic_distance","density"
"1",0,0.015959595959596
"2",1,0
"3",2,0.00121212121212121
"4",3,0.00121212121212121
"5",4,0.0111111111111111
"6",5,0.0351515151515151
"7",6,0.0725252525252525
"8",7,0.187676767676768
"9",8,0.346262626262626
"10",9,0.598181818181818
"11",10,0.923434343434344
"12",11,1.22949494949495
"13",12,1.51717171717172
"14",13,1.56343434343434
"15",14,1.41070707070707
"16",15,1.14343434343434
"17",16,0.834949494949495
"18",17,0.535757575757575
"19",18,0.31010101010101
"20",19,0.155555555555556
"21",20,0.0701010101010101
"22",21,0.0272727272727273
"23",22,0.00686868686868687
"24",23,0.00242424242424242
"25",24,0
"26",25,0
"27",26,0
"28",27,0
"29",28,0
"30",29,0
