"","Genetic_distance","density"
"1",0,0.496969696969697
"2",0.1,0.00404040404040404
"3",0.2,0
"4",0.3,0.0141414141414141
"5",0.4,0.0181818181818182
"6",0.5,0.0121212121212121
"7",0.6,0.0121212121212121
"8",0.7,0.0303030303030303
"9",0.8,0.0222222222222222
"10",0.9,0.0303030303030303
"11",1,0.0363636363636363
"12",1.1,0.0585858585858585
"13",1.2,0.0686868686868688
"14",1.3,0.0787878787878787
"15",1.4,0.143434343434343
"16",1.5,0.22020202020202
"17",1.6,0.254545454545454
"18",1.7,0.311111111111112
"19",1.8,0.454545454545454
"20",1.9,0.523232323232324
"21",2,0.69090909090909
"22",2.1,0.850505050505049
"23",2.2,1.03636363636363
"24",2.3,1.23838383838384
"25",2.4,1.51717171717172
"26",2.5,1.6989898989899
"27",2.6,2.14141414141414
"28",2.7,2.28686868686868
"29",2.8,2.53535353535353
"30",2.9,2.91313131313132
"31",3,2.96767676767677
"32",3.1,3.37575757575757
"33",3.2,3.33737373737373
"34",3.3,3.56565656565656
"35",3.4,3.81818181818183
"36",3.5,3.94949494949495
"37",3.6,3.90707070707071
"38",3.7,4.04848484848484
"39",3.8,3.88282828282828
"40",3.9,3.82424242424244
"41",4,4.02626262626261
"42",4.1,3.81212121212122
"43",4.2,3.4848484848485
"44",4.3,3.54545454545452
"45",4.4,3.25656565656567
"46",4.5,3.30505050505049
"47",4.6,2.90707070707072
"48",4.7,2.83434343434342
"49",4.8,2.64848484848486
"50",4.9,2.54141414141415
"51",5,2.27272727272726
"52",5.1,2.05050505050506
"53",5.2,1.92727272727272
"54",5.3,1.63838383838384
"55",5.4,1.58787878787879
"56",5.5,1.43434343434343
"57",5.6,1.32525252525253
"58",5.7,1.09898989898989
"59",5.8,0.95757575757576
"60",5.9,0.834343434343437
"61",6,0.787878787878785
"62",6.1,0.62828282828283
"63",6.2,0.63232323232323
"64",6.3,0.501010101010103
"65",6.4,0.494949494949497
"66",6.5,0.414141414141412
"67",6.6,0.37777777777778
"68",6.7,0.303030303030302
"69",6.8,0.294949494949497
"70",6.9,0.276767676767678
"71",7,0.230303030303029
"72",7.1,0.185858585858587
"73",7.2,0.153535353535353
"74",7.3,0.127272727272728
"75",7.4,0.109090909090909
"76",7.5,0.103030303030302
"77",7.6,0.0848484848484851
"78",7.7,0.0363636363636361
"79",7.8,0.0585858585858587
"80",7.9,0.0707070707070709
"81",8,0.0444444444444446
"82",8.1,0.034343434343434
"83",8.2,0.0222222222222223
"84",8.3,0.0303030303030304
"85",8.4,0.0282828282828284
"86",8.5,0.0202020202020202
"87",8.6,0.0141414141414139
"88",8.7,0.0101010101010101
"89",8.8,0.00606060606060608
"90",8.9,0.0101010101010101
"91",9,0.00404040404040406
"92",9.1,0.00606060606060597
"93",9.2,0.00808080808080812
"94",9.3,0.00404040404040406
"95",9.4,0.00808080808080811
"96",9.5,0.00404040404040398
"97",9.6,0
"98",9.7,0
"99",9.8,0
"100",9.9,0
"101",10,0.00404040404040398
"102",10.1,0.00202020202020203
"103",10.2,0
"104",10.3,0
"105",10.4,0.00404040404040406
"106",10.5,0
"107",10.6,0
"108",10.7,0
"109",10.8,0
"110",10.9,0
"111",11,0
"112",11.1,0
"113",11.2,0
"114",11.3,0
"115",11.4,0
"116",11.5,0
"117",11.6,0
"118",11.7,0
"119",11.8,0
"120",11.9,0
