"","Genetic_distance","density"
"1",0,0.0185858585858586
"2",1,0.00323232323232323
"3",2,0.00404040404040404
"4",3,0.00545454545454545
"5",4,0.0115151515151515
"6",5,0.0258585858585859
"7",6,0.0531313131313131
"8",7,0.102222222222222
"9",8,0.213333333333333
"10",9,0.429292929292929
"11",10,0.719595959595959
"12",11,1.09616161616162
"13",12,1.3830303030303
"14",13,1.52323232323232
"15",14,1.50121212121212
"16",15,1.26080808080808
"17",16,0.99979797979798
"18",17,0.697373737373738
"19",18,0.451111111111111
"20",19,0.254545454545455
"21",20,0.137575757575758
"22",21,0.0662626262626262
"23",22,0.0262626262626263
"24",23,0.0115151515151515
"25",24,0.00343434343434343
"26",25,0.00101010101010101
"27",26,0.000404040404040404
"28",27,0
"29",28,0
"30",29,0
