"","Genetic_distance","density"
"1",0,0.492929292929293
"2",0.1,0
"3",0.2,0.00202020202020202
"4",0.3,0
"5",0.4,0.0101010101010101
"6",0.5,0.00808080808080808
"7",0.6,0.00606060606060606
"8",0.7,0.00606060606060606
"9",0.8,0.0222222222222222
"10",0.9,0.0101010101010101
"11",1,0.0626262626262626
"12",1.1,0.0686868686868687
"13",1.2,0.111111111111111
"14",1.3,0.155555555555555
"15",1.4,0.175757575757576
"16",1.5,0.311111111111111
"17",1.6,0.434343434343434
"18",1.7,0.577777777777778
"19",1.8,0.761616161616161
"20",1.9,0.834343434343435
"21",2,1.11515151515151
"22",2.1,1.47272727272727
"23",2.2,1.64444444444444
"24",2.3,2.07070707070707
"25",2.4,2.19797979797981
"26",2.5,2.74343434343434
"27",2.6,3.17171717171717
"28",2.7,3.67070707070707
"29",2.8,3.65454545454545
"30",2.9,4.05252525252527
"31",3,4.37979797979798
"32",3.1,4.37979797979798
"33",3.2,4.71919191919191
"34",3.3,4.52727272727272
"35",3.4,4.64444444444446
"36",3.5,4.48080808080808
"37",3.6,4.76767676767676
"38",3.7,4.32525252525252
"39",3.8,4.45050505050505
"40",3.9,3.9838383838384
"41",4,4.07070707070705
"42",4.1,3.4888888888889
"43",4.2,3.42626262626264
"44",4.3,3.17171717171715
"45",4.4,2.47676767676769
"46",4.5,2.67070707070706
"47",4.6,2.18585858585859
"48",4.7,1.90303030303029
"49",4.8,1.80606060606061
"50",4.9,1.61616161616162
"51",5,1.31515151515151
"52",5.1,1.27070707070708
"53",5.2,0.953535353535349
"54",5.3,0.94747474747475
"55",5.4,0.678787878787881
"56",5.5,0.597979797979795
"57",5.6,0.591919191919194
"58",5.7,0.395959595959594
"59",5.8,0.381818181818183
"60",5.9,0.351515151515153
"61",6,0.228282828282827
"62",6.1,0.197979797979799
"63",6.2,0.169696969696969
"64",6.3,0.155555555555556
"65",6.4,0.137373737373738
"66",6.5,0.0545454545454543
"67",6.6,0.0929292929292933
"68",6.7,0.0363636363636362
"69",6.8,0.0242424242424243
"70",6.9,0.0202020202020203
"71",7,0.0242424242424241
"72",7.1,0.0222222222222224
"73",7.2,0.0161616161616161
"74",7.3,0.00808080808080812
"75",7.4,0.00202020202020203
"76",7.5,0
"77",7.6,0
"78",7.7,0
"79",7.8,0
"80",7.9,0
"81",8,0
"82",8.1,0
"83",8.2,0.00404040404040406
"84",8.3,0
"85",8.4,0
"86",8.5,0
"87",8.6,0
"88",8.7,0.00202020202020203
"89",8.8,0
"90",8.9,0
"91",9,0
"92",9.1,0
"93",9.2,0
"94",9.3,0
"95",9.4,0
"96",9.5,0
"97",9.6,0
"98",9.7,0
"99",9.8,0
"100",9.9,0
