"","Genetic_distance","density"
"1",0,0.0529292929292929
"2",1,0.00242424242424242
"3",2,0.00565656565656565
"4",3,0.00686868686868687
"5",4,0.00848484848484848
"6",5,0.0266666666666667
"7",6,0.0432323232323232
"8",7,0.126464646464646
"9",8,0.269090909090909
"10",9,0.495353535353535
"11",10,0.832323232323232
"12",11,1.17191919191919
"13",12,1.46505050505051
"14",13,1.5640404040404
"15",14,1.44181818181818
"16",15,1.20969696969697
"17",16,0.92020202020202
"18",17,0.612121212121212
"19",18,0.35979797979798
"20",19,0.201212121212121
"21",20,0.113535353535353
"22",21,0.0452525252525252
"23",22,0.0163636363636364
"24",23,0.00747474747474748
"25",24,0.00121212121212121
"26",25,0.000404040404040404
"27",26,0.000202020202020202
"28",27,0
"29",28,0.000202020202020202
"30",29,0
