"Genetic_distance","Frequency"
0,5.61746361746362
0.1,0.845971477550425
0.2,0.386019622861728
0.3,0.413064886749097
0.4,0.346153846153846
0.5,0.371794871794871
0.6,0.230769230769231
0.7,0.0641025641025641
0.8,0.256410256410256
0.9,0.217948717948718
1,0.0939563044826202
1.1,0.282051282051282
1.2,0.0911478279899334
1.3,0.0256410256410256
1.4,0.282051282051282
1.5,0.141025641025641
1.6,0.141025641025641
1.7,0.166666666666667
1.8,0.384615384615384
1.9,0.180891417733523
2,0.565506802348907
2.1,0.477167450851661
2.2,0.57832731516942
2.3,1.07692307692308
2.4,1.07973155341577
2.5,1.78608162818689
2.6,1.12820512820513
2.7,1.24639822008243
2.8,2.3702082649451
2.9,2.07936681620893
3,1.92710726921253
3.1,2.12924462924463
3.2,2.18229565597986
3.3,2.78608162818689
3.4,2.50702119123173
3.5,3.87881606302659
3.6,3.85580114527483
3.7,5.8937155779261
3.8,3.39127183864026
3.9,5.187365503155
4,5.1673414304993
4.1,3.47698508224825
4.2,4.76270197322831
4.3,3.45061458219351
4.4,3.67753583543059
4.5,2.67771820403398
4.6,3.23003975635556
4.7,3.40513185250026
4.8,1.85018419228946
4.9,2.43113761534815
5,2.05109968267862
5.1,1.85879199037094
5.2,1.72777838567311
5.3,1.75183280446439
5.4,1.4813801655907
5.5,1.58058868585184
5.6,1.0625159572528
5.7,1.15628989313199
5.8,0.977167450851665
5.9,0.827534011744541
6,0.672283619652037
6.1,0.687912608965243
6.2,0.809096545938647
6.3,0.410256410256412
6.4,0.351770799139221
6.5,0.267644162381003
6.6,0.346153846153847
6.7,0.115384615384615
6.8,0.21074515811358
6.9,0.166666666666667
7,0.0897435897435893
7.1,0.192307692307693
7.2,0.102564102564102
7.3,0.0512820512820515
7.4,0.0128205128205129
7.5,0
7.6,0.0384615384615386
7.7,0.051282051282051
7.8,0.0256410256410257
7.9,0.0256410256410257
8,0.0128205128205129
8.1,0.0384615384615379
8.2,0
8.3,0.0128205128205129
8.4,0.0256410256410257
8.5,0.0128205128205129
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
