"genetic_distance","Frequency"
0,0.505970748076011
1,0.0723565670934092
2,0.0364591311959733
3,0.0283455520297626
4,0.00512820512820513
5,0.0448717948717949
6,0.0304701462596199
7,0.0788890104679578
8,0.14141043877886
9,0.422424043476675
10,0.614414414414414
11,0.911270379691432
12,1.18511689827479
13,1.44454900244374
14,1.6707517233833
15,1.28244884560674
16,1.00087354561039
17,0.800506984717511
18,0.345555677134624
19,0.198278440383704
20,0.120934091986724
21,0.0384615384615385
22,0.0192307692307692
23,0
24,0.00128205128205128
25,0
26,0
27,0
28,0
29,0
